学生名称,第一阶段期望好感值,第二阶段期望好感值,第三阶段期望好感值,完整三阶段期望好感值,每枚制造石期望好感值,240好感值礼物,180好感值礼物,120好感值礼物,80好感值礼物,60好感值礼物,40好感值礼物,20好感值礼物
星野（泳装）,14.155275,13.612009,52.720561,80.487845,80.487845,蕾丝枕头、高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,藏宝图、夏日泳圈、初音未来的拍立得、闪烁的花束,,其他金礼物
静子（泳装）,14.155275,14.210897,49.408375,77.774547,77.774547,清新的花束、美丽花束,营养满分综合维他命果冻,其他紫礼物,,营养补充剂、夏日泳圈、初音未来的拍立得、闪烁的花束,,其他金礼物
泉奈（泳装）,14.155275,14.210897,49.408375,77.774547,77.774547,清新的花束、美丽花束,时髦梳子,其他紫礼物,,刺绣手绢、夏日泳圈、初音未来的拍立得、闪烁的花束,,其他金礼物
千世（泳装）,15.970054,14.958131,51.92103,82.849215,82.849215,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,古典诗集、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
纱织,14.518231,13.505135,49.910906,77.934272,77.934272,清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套,其他金礼物
萌绘,14.518231,13.644794,49.910906,78.073931,78.073931,清新的花束、美丽花束,A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、Game Girl Color复刻版、MX-野外战口粮 C型 甜品风味,其他金礼物
和纱,14.881187,13.673039,50.413437,78.967663,78.967663,清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,樱桃唇彩、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
心奈,14.518231,13.33602,51.014968,78.869219,78.869219,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
歌原（应援团）,14.155275,13.166208,50.512437,77.83392,77.83392,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,天体望远镜、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、Game Girl Color复刻版,其他金礼物
诺亚,15.244143,13.739,50.915968,79.899111,79.899111,清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
响（应援团）,14.518231,13.910967,52.11903,80.548228,80.548228,针线套装、清新的花束、美丽花束,A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、可爱的餐具套装、发条音乐盒,其他金礼物
茜（邦妮）,13.429364,12.985223,49.507375,75.921962,75.921962,针线套装、清新的花束、美丽花束,,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,,其他金礼物
优香（体操服）,13.429364,12.335823,47.299251,73.064438,73.064438,清新的花束、美丽花束,,其他紫礼物,,益智魔方、初音未来的拍立得、闪烁的花束,,其他金礼物
玛丽（体操服）,13.79232,13.595648,51.113968,78.501936,78.501936,时髦梳子、清新的花束、美丽花束,最高级枫树盆栽,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,食虫植物盆栽,其他金礼物
莲见（体操服）,14.881187,13.739582,51.517499,80.138268,80.138268,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,大型蛋糕、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、高档自助餐招待券,其他金礼物
日鞠,14.518231,13.33602,51.014968,78.869219,78.869219,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,世界上最没用的机器、初音未来的拍立得、闪烁的花束,藏宝图、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
时雨,13.79232,13.262933,50.009906,77.065159,77.065159,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,百科全书,其他金礼物
芹娜（圣诞）,14.155275,13.608701,51.616499,79.380475,79.380475,蕾丝枕头、清新的花束、美丽花束,营养满分综合维他命果冻,其他紫礼物,,果冻抱枕、初音未来的拍立得、闪烁的花束,波浪猫枕头、营养补充剂,其他金礼物
花江（圣诞）,14.155275,13.608701,51.616499,79.380475,79.380475,一天三次哑铃套装、清新的花束、美丽花束,营养满分综合维他命果冻,其他紫礼物,,健身圈、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、营养补充剂,其他金礼物
晴奈（新年）,14.155275,13.612009,50.512437,78.279721,78.279721,音乐演奏会门票、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、刺绣手绢、初音未来的拍立得、闪烁的花束,,其他金礼物
风香（新年）,14.155275,14.210897,51.616499,79.982671,79.982671,营养满分综合维他命果冻、清新的花束、美丽花束,针线套装,其他紫礼物,,可爱的餐具套装、营养补充剂、初音未来的拍立得、闪烁的花束,,其他金礼物
纯子（新年）,14.518231,13.33602,51.014968,78.869219,78.869219,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
美祢,14.155275,13.151442,50.512437,77.819154,77.819154,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,樱桃唇彩、初音未来的拍立得、闪烁的花束,让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套,其他金礼物
未花,15.607098,14.405014,53.626622,83.638734,83.638734,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,樱桃唇彩、迷彩伪装用粉底液3件套、高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
惠,15.607098,14.430031,52.522561,82.55969,82.55969,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
康娜,13.79232,13.262933,50.009906,77.065159,77.065159,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,百科全书,其他金礼物
樱子,14.518231,13.33602,51.014968,78.869219,78.869219,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,大型蛋糕、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水,其他金礼物
时,14.518231,13.87824,51.014968,79.411439,79.411439,一天三次哑铃套装、清新的花束、美丽花束,,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,健身圈、百科全书、营养补充剂,其他金礼物
渚,14.881187,13.639768,51.517499,80.038454,80.038454,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,发条音乐盒、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛,其他金礼物
小雪,15.607098,14.151268,52.522561,82.280927,82.280927,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,世界上最没用的机器、益智魔方、初音未来的拍立得、闪烁的花束,天体望远镜、装扮用圈圈眼镜、蝴蝶结玩具熊、绘画颜料30色套装,其他金礼物
佳代子（新年）,14.881187,14.527143,53.725622,83.133952,83.133952,音乐演奏会门票、清新的花束、美丽花束,A-Book Rare、时髦梳子,其他紫礼物,,埃帕蓝牙耳机、刺绣手绢、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、发条音乐盒,其他金礼物
春香（新年）,14.155275,13.581215,50.512437,78.248927,78.248927,最高级枫树盆栽、清新的花束、美丽花束,,其他紫礼物,,食虫植物盆栽、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、看似昂贵的贪婪之坛,其他金礼物
果穗,15.244143,13.739,52.02003,81.003173,81.003173,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,古典诗集、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
爱丽丝（女仆）,16.695966,15.43742,56.238277,88.371663,88.371663,时髦梳子、桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,游戏杂志《HIT GIRLS》、益智魔方、初音未来的拍立得、闪烁的花束,天体望远镜、Game Girl Color复刻版、健身圈、装扮用圈圈眼镜、蝴蝶结玩具熊、绘画颜料30色套装、刺绣手绢,其他金礼物
时（邦妮）,14.518231,13.87824,53.223091,81.619562,81.619562,针线套装、一天三次哑铃套装、清新的花束、美丽花束,,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,健身圈、百科全书、营养补充剂,其他金礼物
柚子（女仆）,14.518231,13.67861,51.014968,79.211809,79.211809,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、游戏杂志《HIT GIRLS》、健身圈,其他金礼物
玲纱,15.607098,14.551794,53.626622,83.785514,83.785514,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,A-Book Rare,其他紫礼物,,埃帕蓝牙耳机、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、Game Girl Color复刻版、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕、发条音乐盒,其他金礼物
瑠海,14.155275,14.210897,50.512437,78.878609,78.878609,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,可爱的餐具套装、刺绣手绢、初音未来的拍立得、闪烁的花束,,其他金礼物
南,15.607098,14.534538,52.522561,82.664197,82.664197,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,看似昂贵的贪婪之坛、发条音乐盒、初音未来的拍立得、闪烁的花束,藏宝图、装扮用圈圈眼镜、世界上最没用的机器、食虫植物盆栽,其他金礼物
实梨,15.970054,14.621004,54.129153,84.720211,84.720211,营养满分综合维他命果冻、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,《枪、可爱、青春》、百科全书、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、营养补充剂",其他金礼物
宫子（泳装）,14.881187,14.176531,51.517499,80.575217,80.575217,蕾丝枕头、清新的花束、美丽花束,,其他紫礼物,,《枪、可爱、青春》、夏日泳圈、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味,其他金礼物
咲（泳装）,16.695966,16.045327,55.134215,87.875508,87.875508,营养满分综合维他命果冻、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,迷彩伪装用粉底液3件套、夏日泳圈、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒、百科全书、营养补充剂,其他金礼物
美游（泳装）,14.881187,14.841962,51.517499,81.240648,81.240648,时髦梳子、清新的花束、美丽花束,,其他紫礼物,,刺绣手绢、夏日泳圈、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味,其他金礼物
白子（泳装）,14.518231,14.227257,51.014968,79.760456,79.760456,一天三次哑铃套装、清新的花束、美丽花束,,其他紫礼物,,佩洛洛健腹轮、夏日泳圈、初音未来的拍立得、闪烁的花束,健身圈,其他金礼物
忧（泳装）,17.058922,15.840434,54.532684,87.43204,87.43204,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,《枪、可爱、青春》、藏宝图、古典诗集、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、百科全书",其他金礼物
日向（泳装）,14.518231,14.807706,51.014968,80.340905,80.340905,针线套装、清新的花束、美丽花束,,其他紫礼物,,可爱的餐具套装、夏日泳圈、初音未来的拍立得、闪烁的花束,刺绣手绢,其他金礼物
小春（泳装）,14.518231,13.827999,51.014968,79.361198,79.361198,莎姆艾菈【Beyond】、清新的花束、美丽花束,,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、夏日泳圈、初音未来的拍立得、闪烁的花束",《枪、可爱、青春》,其他金礼物
花子（泳装）,15.607098,15.315446,53.626622,84.549166,84.549166,时髦梳子、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,让皮肤更加白皙透亮的护肤霜,夏日泳圈、初音未来的拍立得、闪烁的花束,樱桃唇彩、迷彩伪装用粉底液3件套、刺绣手绢,其他金礼物
三森（泳装）,17.421877,16.539572,57.243339,91.204788,91.204788,针线套装、清新的花束、美丽花束,街头混混系列第1本、莎姆艾菈【Beyond】,其他紫礼物,,古典诗集、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、可爱的餐具套装、百科全书",其他金礼物
芽瑠,17.058922,15.214857,55.636746,87.910525,87.910525,桌游《人生》、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,绘画颜料30色套装、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、天体望远镜、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、装扮用圈圈眼镜、蝴蝶结玩具熊、古典诗集、益智魔方、百科全书",其他金礼物
红叶,15.607098,14.071196,52.522561,82.200855,82.200855,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、初音未来的拍立得、闪烁的花束","游戏杂志《HIT GIRLS》、樱桃唇彩、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
琴里（应援团）,14.881187,14.017515,51.517499,80.416201,80.416201,一天三次哑铃套装、清新的花束、美丽花束,,其他紫礼物,,百科全书、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、健身圈、益智魔方、营养补充剂,其他金礼物
晴奈（体操服）,15.244143,14.155202,53.124091,82.523436,82.523436,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,高级曲奇礼盒套装、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、健身圈、大型蛋糕,其他金礼物
一花,15.244143,14.565082,54.228153,84.037378,84.037378,莎姆艾菈【Beyond】、清新的花束、美丽花束,A-Book Rare、时髦梳子,其他紫礼物,,樱桃唇彩、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、Game Girl Color复刻版、刺绣手绢,其他金礼物
霞,14.155275,12.984888,50.512437,77.6526,77.6526,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,藏宝图、初音未来的拍立得、闪烁的花束,天体望远镜、世界上最没用的机器,其他金礼物
时雨（温泉）,13.79232,13.262933,50.009906,77.065159,77.065159,营养满分综合维他命果冻、清新的花束、美丽花束,,其他紫礼物,,营养补充剂、初音未来的拍立得、闪烁的花束,百科全书,其他金礼物
御坂美琴,12.703452,11.73667,46.29419,70.734312,70.734312,清新的花束、美丽花束,,其他紫礼物,,初音未来的拍立得、闪烁的花束,,其他金礼物
食蜂操祈,12.703452,11.73667,46.29419,70.734312,70.734312,清新的花束、美丽花束,,其他紫礼物,,初音未来的拍立得、闪烁的花束,,其他金礼物
佐天泪子,12.703452,11.73667,46.29419,70.734312,70.734312,清新的花束、美丽花束,,其他紫礼物,,初音未来的拍立得、闪烁的花束,,其他金礼物
紫,14.881187,14.243618,52.621561,81.746366,81.746366,时髦梳子、清新的花束、美丽花束,千层酥咖啡厅的正宗芭菲,其他紫礼物,,刺绣手绢、初音未来的拍立得、闪烁的花束,高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、大型蛋糕,其他金礼物
莲华,15.244143,14.773478,53.124091,83.141712,83.141712,针线套装、清新的花束、美丽花束,音乐演奏会门票,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、电影预售票、可爱的餐具套装、初音未来的拍立得、闪烁的花束",高档自助餐招待券,其他金礼物
桔梗,16.695966,15.188276,54.030153,85.914395,85.914395,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,"《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书、初音未来的拍立得、闪烁的花束","无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、营养补充剂",其他金礼物
艾米（泳装）,15.607098,14.952727,51.418499,81.978324,81.978324,清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,发条音乐盒、夏日泳圈、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛,其他金礼物
小玉（露营）,14.881187,13.534128,52.621561,81.036876,81.036876,A-Book Rare、清新的花束、美丽花束,桌游《人生》,其他紫礼物,,蝴蝶结玩具熊、初音未来的拍立得、闪烁的花束,天体望远镜、装扮用圈圈眼镜、绘画颜料30色套装、益智魔方,其他金礼物
晴（露营）,14.155275,13.124581,50.512437,77.792293,77.792293,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,游戏杂志《HIT GIRLS》、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版、健身圈,其他金礼物
亚子（礼服）,15.970054,15.066521,54.129153,85.165728,85.165728,营养满分综合维他命果冻、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,"跳跃侦探兔
~由大雾引发的温泉滑倒事件~、营养补充剂、初音未来的拍立得、闪烁的花束",藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒、百科全书,其他金礼物
伊吹,17.058922,15.395847,56.740808,89.195577,89.195577,千层酥咖啡厅的正宗芭菲、桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、蝴蝶结玩具熊、绘画颜料30色套装、初音未来的拍立得、闪烁的花束,天体望远镜、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、装扮用圈圈眼镜、益智魔方、大型蛋糕,其他金礼物
真琴,15.970054,14.851997,53.025092,83.847143,83.847143,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束,装扮用圈圈眼镜、食虫植物盆栽、发条音乐盒,其他金礼物
日奈（礼服）,14.518231,13.625061,51.014968,79.15826,79.15826,音乐演奏会门票、清新的花束、美丽花束,,其他紫礼物,,世界上最没用的机器、电影预售票、初音未来的拍立得、闪烁的花束,高档自助餐招待券,其他金礼物
佳代子（礼服）,14.518231,13.625061,51.014968,79.15826,79.15826,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,埃帕蓝牙耳机、发条音乐盒、初音未来的拍立得、闪烁的花束,Game Girl Color复刻版,其他金礼物
爱露（礼服）,15.244143,13.975761,52.02003,81.239934,81.239934,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,藏宝图、世界上最没用的机器、看似昂贵的贪婪之坛、初音未来的拍立得、闪烁的花束,发条音乐盒,其他金礼物
明里（新年）,13.79232,12.890329,50.009906,76.692555,76.692555,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高档自助餐招待券、初音未来的拍立得、闪烁的花束,大型蛋糕,其他金礼物
海香,15.607098,14.430031,52.522561,82.55969,82.55969,桌游《人生》、清新的花束、美丽花束,,其他紫礼物,,装扮用圈圈眼镜、初音未来的拍立得、闪烁的花束,天体望远镜、蝴蝶结玩具熊、绘画颜料30色套装、益智魔方、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
椿（导游）,15.970054,14.68865,54.129153,84.787857,84.787857,蕾丝枕头、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,波浪猫枕头、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、果冻抱枕、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、古典诗集、百科全书",其他金礼物
和纱（乐队）,15.607098,14.352164,52.522561,82.481823,82.481823,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、大型蛋糕、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、发条音乐盒,其他金礼物
好美（乐队）,15.244143,13.990498,52.02003,81.254671,81.254671,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、大型蛋糕、初音未来的拍立得、闪烁的花束,樱桃唇彩、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水,其他金礼物
爱理（乐队）,15.244143,14.25667,52.02003,81.520843,81.520843,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、大型蛋糕、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、刺绣手绢,其他金礼物
绮罗罗,14.881187,14.108326,53.725622,82.715135,82.715135,莎姆艾菈【Beyond】、时髦梳子、清新的花束、美丽花束,,其他紫礼物,,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、初音未来的拍立得、闪烁的花束,迷彩伪装用粉底液3件套、刺绣手绢,其他金礼物
桃（女仆）,14.881187,14.070485,52.621561,81.573233,81.573233,桌游《人生》、清新的花束、美丽花束,蕾丝枕头,其他紫礼物,,Game Girl Color复刻版、初音未来的拍立得、闪烁的花束,波浪猫枕头、游戏杂志《HIT GIRLS》、果冻抱枕、健身圈,其他金礼物
绿（女仆）,14.518231,14.065081,51.014968,79.59828,79.59828,针线套装、清新的花束、美丽花束,,其他紫礼物,,可爱的餐具套装、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、Game Girl Color复刻版、健身圈,其他金礼物
芹香（泳装）,15.607098,15.149088,52.522561,83.278747,83.278747,高级蛋形工艺品、清新的花束、美丽花束,,其他紫礼物,,看似昂贵的贪婪之坛、夏日泳圈、初音未来的拍立得、闪烁的花束,藏宝图、世界上最没用的机器、发条音乐盒、刺绣手绢,其他金礼物
康娜（泳装）,15.970054,14.958131,53.025092,83.953277,83.953277,街头混混系列第1本、清新的花束、美丽花束,,其他紫礼物,,"跳跃侦探兔
~由大雾引发的温泉滑倒事件~、夏日泳圈、初音未来的拍立得、闪烁的花束","无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、古典诗集、百科全书",其他金礼物
吹雪（泳装）,16.695966,15.910424,54.030153,86.636543,86.636543,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,高级曲奇礼盒套装、抹茶味弹珠汽水、夏日泳圈、初音未来的拍立得、闪烁的花束,游戏杂志《HIT GIRLS》、Game Girl Color复刻版、MX-野外战口粮 C型 甜品风味、健身圈、大型蛋糕,其他金礼物
桐乃（泳装）,14.881187,14.527143,51.517499,80.925829,80.925829,一天三次哑铃套装、清新的花束、美丽花束,,其他紫礼物,,健身圈、夏日泳圈、初音未来的拍立得、闪烁的花束,佩洛洛健腹轮、高级曲奇礼盒套装,其他金礼物
萌绘（泳装）,15.970054,15.576152,53.025092,84.571298,84.571298,A-Book Rare、清新的花束、美丽花束,,其他紫礼物,,夏日泳圈、初音未来的拍立得、闪烁的花束,埃帕蓝牙耳机、迷彩伪装用粉底液3件套、Game Girl Color复刻版、MX-野外战口粮 C型 甜品风味、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛,其他金礼物
星野（武装）,15.970054,14.629028,54.129153,84.728235,84.728235,蕾丝枕头、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味、藏宝图、初音未来的拍立得、闪烁的花束,世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
星野（武装）,15.970054,14.629028,54.129153,84.728235,84.728235,蕾丝枕头、清新的花束、美丽花束,高级蛋形工艺品,其他紫礼物,,迷彩伪装用粉底液3件套、MX-野外战口粮 C型 甜品风味、藏宝图、初音未来的拍立得、闪烁的花束,世界上最没用的机器、看似昂贵的贪婪之坛、发条音乐盒,其他金礼物
白子＊恐怖,13.79232,13.000686,48.905844,75.69885,75.69885,清新的花束、美丽花束,一天三次哑铃套装,其他紫礼物,,佩洛洛健腹轮、初音未来的拍立得、闪烁的花束,健身圈,其他金礼物
亚津子（泳装）,17.784833,16.950725,56.641808,91.377366,91.377366,桌游《人生》、清新的花束、美丽花束,街头混混系列第1本,其他紫礼物,,古典诗集、百科全书、夏日泳圈、初音未来的拍立得、闪烁的花束,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、游戏杂志《HIT GIRLS》、《枪、可爱、青春》、跳跃侦探兔
~由大雾引发的温泉滑倒事件~、装扮用圈圈眼镜、食虫植物盆栽、看似昂贵的贪婪之坛、营养补充剂",其他金礼物
纱织（泳装）,15.970054,15.368194,54.129153,85.467401,85.467401,时髦梳子、清新的花束、美丽花束,莎姆艾菈【Beyond】,其他紫礼物,,樱桃唇彩、让皮肤更加白皙透亮的护肤霜、迷彩伪装用粉底液3件套、夏日泳圈、初音未来的拍立得、闪烁的花束,MX-野外战口粮 C型 甜品风味,其他金礼物
日和（泳装）,16.33301,15.485194,53.527622,85.345826,85.345826,千层酥咖啡厅的正宗芭菲、清新的花束、美丽花束,,其他紫礼物,,"无法实现的爱恋
~正因为是不被世间容许的爱，才更令人流连忘返~、大型蛋糕、夏日泳圈、初音未来的拍立得、闪烁的花束",高级曲奇礼盒套装、MX-野外战口粮 C型 甜品风味、抹茶味弹珠汽水、高档自助餐招待券,其他金礼物
